room_id,hotel_id,room_name,room_price,room_features,size,max_persons,bed_type,view
13,2,Deluxe 3 phòng ngủ,5500000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",90,6,giường đôi và giường đơn,
14,3,Deluxe Bay View,2500000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",39,2,giường đôi hoặc giường đơn,hướng vịnh
15,3,Deluxe Lake View ,2300000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",39,2,1 Giường đôi,hướng hồ sinh thái
16,3,Presidential Suite 3 phòng ngủ,27250000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",280,6,giường đơn và giường đôi,
17,3,Premier Deluxe Bay View ,3300000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",51,2,giường đôi,hướng vịnh
18,3,Executive Suite Bay View ,9550000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",117,2,giường đôi,hồ sinh thái
19,3,Executive Bay View ,4300000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",41,2,giường đôi,hướng hồ sinh thái
20,3,Grand Suite  2 phòng ngủ,10550000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",115,4,giường đôi và giường đơn,hướng vịnh
21,3,Junior Suite,6400000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",78,2,giường đôi,hướng vịnh
22,4,Deluxe seaview ,2150000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",42,2,giường đơn hặc giường đôi,hướng vịnh
23,4,Superior ,1700000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",33,2,giường đơn hặc giường đôi,hướng thành phố
24,4,Deluxe Executive seaview ,2600000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",42,2,giường đôi,hướng vịnh
25,4,Executive Suite seaview ,4100000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",90,2,giường đôi,hướng vịnh
26,4,Junior Suite seaview,2900000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",60,2,giường đôi,hướng vịnh
27,4,Grand Suite seaview,4800000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",90,2,giường đôi,hướng vịnh
28,5,Superior,1000000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",34,2,giường đơn hoặc giường đôi,hướng thành phố
29,5,Deluxe,1250000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",38,2,giường đôi hoặc giường đơn,hướng thành phố
30,5,Executive suite,2700000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",72,2,giường đôi,hướng vịnh
31,6,Superior,950000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",28,2,giường đơn hoặc giường đơn,không có View
32,6,Deluxe,1050000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",28,2,giường đơn hoặc giường đôi,hướng phố
33,6,Grand Deluxe,1200000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",30,2,giường đôi,hướng phố
34,6,Premier Grand Deluxe,1450000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",38,2,giường đôi,hướng phố và hướng hồ
35,7,Superior ,950000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",25,2,2 giường đơn hoặc 1 giường đôi,Hướng thành phố
36,7,Honeymoon Suite,1500000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",30,2,giường đôi,hướng vườn và hướng thành phố
37,7,Deluxe,1150000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",30,2,2 giường đơn hoặc 1 giường đôi,"hướng thành phố, cửa sổ"
38,7,Junior Suite ,1300000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",35,2,1 giường đôi hặc 2 giường đơn,hướng thành phố và hướng vườn
39,7,Family Suite Triple,1850000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",45,3,1 giường đôi và 2 giường đơn,hướng thành phố
40,7,Grand Fleuve Suite,2850000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",55,2,giường đôi,hướng thành phố
41,8,Superior,550000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar",26,2,1 giường đôi hoặc 2 giường đơn,View thành phố
42,8,Deluxe Sea View,600000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",26,2,1 giường đôi hoặc 2 giường đơn,View chéo biển
43,8,Deluxe Triple Partial Sea View,850000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",26,3,1 giường đôi và 1 giường đơn,View chéo biển
44,8,Executive Sea with Balcony,700000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",32,2,1 giường đôi hoặc 2 giường đơn,"View ban công, biển"
45,8,Superior Triple,750000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",26,3,1 giường đôi và 1 giường đơn,View thành phố
46,8,Executive Triple Sea with Balcony,900000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",32,3,1 giường đôi và 1 giường đơn,"View ban công, biển"
47,8,Family Sea View,1100000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Nước đóng chai miễn phí",32,4,2 giường đôi,"View ban công, biển"
48,9,Deluxe King,1250000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",26,2,giường đôi,hướng thành phố
49,9,Deluxe Twin ,1250000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",26,2,giường đơn,hướng thành phố
50,9,Executive Suite,1950000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",45,2,giường đôi,hướng vịnh
51,9,Deluxe Family Triple Seaview ,2000000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",54,4,giường đơn và giường đôi,hướng vịnh
52,9,Deluxe Triple Seaview ,1600000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",54,3,giường đơn,hướng vịnh
53,10,Executive Suite,2650000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",82,2,giường đôi,hướng vịnh
54,10,Plaza Suite,3050000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",102,2,giường đôi,hướng vịnh
55,10,Superior,950000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",38,2,1 giường đôi hặc 2 giường đơn,một phần hướng ra biển
56,10,Deluxe,1050000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",38,2,1 giường đôi hặc 2 giường đơn,một phần hướng ra biển
57,10,Premium,1150000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",38,2,giường đôi,hướng ra biển
58,10,Premium,2250000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",72,2,giường đôi,hướng vịnh
59,11,Superior Double,700000,"Điều hòa, Máy sấy tóc, Tivi, Nước đóng chai miễn phí",25,2,1 giường lớn (Queen),Hướng thành phố có cửa sổ
60,11,Deluxe Twin,750000,"Điều hòa, Máy sấy tóc, Tivi, Bàn làm việc, Nước đóng chai miễn phí",28,2,2 giường đơn,Hướng thành phố có cửa sổ
61,11,Executive Suite,1250000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Tivi, Bàn làm việc, Nước đóng chai miễn phí",35,2,1 giường lớn (King),Hướng thành phố và núi có cửa sổ
62,11,Quad Family Room,1150000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Tivi, Bàn làm việc, Nước đóng chai miễn phí",32,4,2 giường đôi,Hướng thành phố có cửa sổ
63,11,Royal Suite,1350000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Tivi, Bàn làm việc, Nước đóng chai miễn phí",40,2,1 giường lớn (King),Hướng thành phố và núi có cửa sổ
64,11,Premier Deluxe Triple,1000000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Tivi, Bàn làm việc, Nước đóng chai miễn phí",30,3,1 giường đơn và 1 giường lớn (Queen),Hướng thành phố có cửa sổ
65,12,Premium Deluxe,1150000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Tivi, Bàn làm việc, Nước đóng chai miễn phí",37,2,1 giường lớn (King),"View biển, thành phố, vườn"
66,12,Senior Standard,950000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Tivi, Bàn làm việc, Nước đóng chai miễn phí",35,2,1 giường lớn (King),"View biển, thành phố, bể bơi"
67,12,Senior Deluxe,1050000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Tivi, Bàn làm việc, Nước đóng chai miễn phí",37,2,1 giường lớn (King),"View biển, thành phố, bể bơi"
68,12,Superior,750000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Tivi, Bàn làm việc, Nước đóng chai miễn phí",34,2,1 giường đôi hoặc 2 giường đơn,View thành phố
69,12,Deluxe,850000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Tivi, Bàn làm việc, Nước đóng chai miễn phí",34,2,1 giường đôi hoặc 2 giường đơn,"View biển, thành phố, núi"
70,12,Executive Suite,3200000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Tivi, Bàn làm việc, Nước đóng chai miễn phí",65,2,1 giường lớn (King),"View biển, thành phố, vườn"
71,13,Deluxe King/ Twin,1100000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Tivi, Bàn làm việc, Nước đóng chai miễn phí",36,2,1 giường đôi hoặc 2 giường đơn,View thành phố
72,13,Deluxe Triple,1580000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Tivi, Bàn làm việc, Nước đóng chai miễn phí",36,3,3 giường đơn,View biển
73,13,Executive Suite,1850000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Tivi, Bàn làm việc, Nước đóng chai miễn phí",60,2,1 giường đôi,No view
74,14,Executive Suite,3750000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Tivi, Bàn làm việc, Nước đóng chai miễn phí",50,2,1 giường lớn (King),View biển
75,14,Deluxe Executive,1750000,"Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Bàn làm việc",50,2,1 giường đôi hoặc 2 giường đơn,View thành phố
76,14,Deluxe,1250000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Tivi, Bàn làm việc, Nước đóng chai miễn phí",28,2,1 giường đôi hoặc 2 giường đơn,View thành phố
77,14,Deluxe Plus,1350000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Tivi, Bàn làm việc, Nước đóng chai miễn phí",30,2,1 giường đôi hoặc 2 giường đơn,View thành phố
78,14,Deluxe Pool Terrace,1550000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Tivi, Bàn làm việc, Nước đóng chai miễn phí",38,2,1 giường đôi hoặc 2 giường đơn,View thành phố
79,15,Deluxe,850000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",28,2,1 giường đôi hoặc 2 giường đơn,hướng thành phố
80,15,Grand Deluxe,1000000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",40,2,1 giường đôi hoặc 2 giường đơn,hướng thành phố
81,15,Family Suite,1500000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",56,4,1 giường đôi và 2 giường đơn,hướng thành phố 
82,16,DELUXE,1400000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",22,2,giường đơn hặc giường đôi,hướng thành phố
83,16,STUDIO SUITE,1850000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",35,2,giường đôi,hướng thành phố
84,16,PREMIUM,1600000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",25,2,giường đơn hặc giường đôi,hướng thành phố
85,16,GRAND SUITE,3050000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",50,2,GIƯỜNG ĐÔI,hướng thành phố
86,17,Deluxe ,1100000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",25,2,2 giường đơn hoặc 1 giường đôi,hướng thành phố có ban công
87,17,Superior ,800000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",22,2,2 giường đơn hoặc 1 giường đôi,hướng thành phố với cửa sổ
88,17, Triple room ,1200000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",30,3,giường đôi và giường đơn,hướng thành phố
89,17,Family connecting room,1650000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",45,4,giường đôi và giường đơn,hướng thành phố
90,18,Standard,1000000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",28,2,1 giường đôi hoặc 2 giường đơn,hướng thành phố
91,18,Deluxe,1300000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",35,2,1 giường đôi hoặc 2 giường đơn,hướng thành phố
92,18,Superior,1100000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",30,2,1 giường đôi hoặc 2 giường đơn,hướng thành phố
93,19,Deluxe City View,1250000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",25,2,1 giường đôi hoặc 2 giường đơn,View thành phố
94,19,Family Suite With City View,1600000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",30,4,1 giường đôi hoặc 2 giường đơn,hướng thành phố
95,19,Deluxe Double Balcony,1350000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",35,3,1 giường đôi hoặc 2 giường đơn,hướng thành phố
96,19,Family Suite Balcony,1700000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",30,4,1 giường đôi hoặc 2 giường đơn,View thành phố
97,20,Deluxe Room,4225000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",32,2,giường đôi hặc 2 giường đơn,Hướng thành phố
98,20,Premium Room,4850000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",32,2,giường đôi hặc 2 giường đơn,Hướng thành phố
99,20,The Level Premium Room,6850000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",32,2,giường đôi hặc 2 giường đơn,Hướng thành phố
100,20,Grand Premium,5725000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",68,2,giường đôi hặc 2 giường đơn,Hướng thành phố
101,20,The Level Executive Suite,7850000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",68,2,giường đôi hặc 2 giường đơn,Hướng thành phố
102,21,Deluxe,1650000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",25,2,1 giường đôi hặc 2 giường đơn,hướng thành phố
103,21,Family Suite,2600000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",40,3,1 giường đôi hặc 2 giường đơn,hướng thành phố
104,21,Executive Balcony,1950000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",30,2,giường đôi,hướng thành phố
105,21,Suite,2650000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",40,2,1 giường đôi hặc 2 giường đơn,hướng thành phố
106,22,Superior King Ocean View / Superior Twin City View,1950000,"Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Bàn làm việc",30,2,King/Twin,Hướng biển/Hướng thành phố
107,22,Premium Deluxe King Ocean View / Premium Deluxe Twin Partial Ocean View,2400000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",40,2,King/Twin,Hướng biển/Hướng biển một phần
108,22,Corner Suite Ocean View,3200000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",76,2,King,Hướng biển
109,22,Deluxe King Ocean View / Deluxe Twin Partial Ocean View,2200000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",40,2,King/Twin,Hướng biển/Hướng biển một phần
110,22,Premium King Ocean View / Premium Twin City View,2150000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",40,2,King/Twin,Hướng biển/Hướng thành phó
111,22,Premium Corner Suite Ocean View,3400000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",76,2,King,Hướng biển
112,22,Panoramic Corner Suite Ocean View,3750000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",76,2,King,Hướng biển
113,23,Standard ,650000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",16,2,1 giường đôi,
114,23,Superior,650000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",16,2,2 giường đơn,
115,23,Deluxe,650000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",25,2,2 giường đơn,
116,23,Senior Ocean View,850000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",27,2,1 giường đôi hoặc 2 giường đơn,View biển
117,23,Deluxe Sea View,750000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",25,2,2 giường đơn,View biển
118,23,Deluxe City View,700000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",25,2,1 giường đôi hoặc 2 giường đơn,View thành phố
119,24,Premier City View with Balcony,650000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",28,2,1 giường đôi hoặc 2 giường đơn,"View ban công, thành phố"
120,24,Suite,1050000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",47,2,1 giường lớn (King),View biển
121,24,Executive Family City View With Balcony,1250000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",30,4,2 giường đôi,"View ban công, thành phố"
122,24,Executive Triple City View,1000000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",35,3,1 giường đôi và 1 giường đơn,View thành phố
123,24,Executive City View With Balcony,700000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",30,2,1 giường đôi,"View ban công, thành phố"
124,25,Superior Garden View,950000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Tivi, Bàn làm việc, Nước đóng chai miễn phí",25,2,2 giường đơn hoặc 1 giường đôi,View vườn
125,25,Loft Ocean View,1250000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Tivi, Bàn làm việc, Nước đóng chai miễn phí",35,2,1 giường đôi,View biển
126,25,Deluxe Garden View,1000000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Tivi, Bàn làm việc, Nước đóng chai miễn phí",25,2,2 giường đơn hoặc 1 giường đôi,View vườn
