ship_id,block_id,data
4,4,"Du thuyền là sự lựa chọn lý tưởng cho gia đình, cặp đôi hoặc nhóm bạn bè"
5,1,"Du thuyền Milalux được thiết kế với 20 cabin rộng rãi, nhà hàng , boong tàu rộng cũng như là phòng Spa"
5,2,"Du khách được thưởng thức đồ ăn ngon, được kết hợp cả phương đông và món ăn Việt Nam"
5,3,Trải nghiệm chèo thuyền kayak trong khu vực hang luồn và tận hưởng vẻ đẹp chân thực nhất của vịnh Hạ Long
5,4,Du khách sẽ tận hưởng cảm giác ấm áp và thoải mái cũng như những cảm giác thực sự trải nghiệm trên vịnh Hạ Long -kì  quan thiên nhiên thế giới.
6,1,"Du thuyền mới và sang trọng nhất ở Vịnh Hạ Long, tất cả các cabin đều có hành lang để du khách có thể ngắm cảnh hòa mình vào Vịnh"
6,2,"Du thuyền 5 sao mới và sang trọng nhất ở vịnh hạ long có cấu trúc vỏ thép kết hợp kiểu dáng đương đại, trang thiết bị hiện đại"
6,3,"Sở hữu quầy bar piano, spa, dịch vụ quản gia và vô vàn lựa chọn thưởng thức ẩm thực"
6,4,Du thuyền Paradise Elegance hứa hẹn đem tới những trải nghiệm ấn tượng khó quên cùng những chuyến du ngoạn làm hài lòng du khách.
7,1,Du thuyền Paradise Peak là tàu gỗ thuộc đội tàu của Tập đoàn Paradise Hạ Long.
7,2,Du thuyền có số lượng cabin nhỏ nhưng diện tích mỗi cabin khá rộng rãi và đầy đủ các trang thiết bị phòng nghỉ.
7,3,"Các khu vực khác trên tàu đảm bảo sự thoải mái du khách như: nhà hàng, spa, boong tàu thoáng đãng."
7,4,Lịch trình truyền thống của du thuyền chạy theo tuyến Hạ Long sẽ đưa du khách tham quan các điểm du lịch nổi tiếng
8,1,"Du thuyền đầy đủ tiện ích, nội thất hiện đại và đẳng cấp, cabin rộng rãi có ban công riêng với cửa sổ lớn và phòng tắm riêng"
8,2,Du khách được thưởng thức những bữa ăn ngon tại nhà hàng & Quầy bar sang trọng với tầm nhìn toàn cảnh Vịnh Hạ Long.
8,3,Thiết kế cabin rộng rãi có ban công riêng với cửa sổ lớn và phòng tắm riêng
8,4,"Các dịch vụ tiện ích dịch vụ nhà hàng, Gym, Spa, Massage và  phòng tập thể dục và điều trị spa trên tàu"
9,1,"Du thuyền tiêu chuẩn 5 sao với lịch trình đa dạng, cân đối  Khám phá tuyến đường ""vắng khách"" của Vịnh Lan Hạ"
9,2,"Du thuyền qua vùng biển đầy mê hoặc này, khám phá những hang động ẩn, và thả gió trên những bãi biển cát"
9,3,"Thiết kế phòng thông nhau mang lại cảm giác gần gũi,ấm cúng cho các gia đình và nhóm bạn"
9,4,Đắm chìm trong vẻ đẹp hoang sơ bên vịnh Lan Hạ cùng Du thuyền nghỉ dưỡng mang thương hiệu La Pandora
10,1,Du thuyền Orchid Premium là dòng sản phẩm mới nhất và sang trọng nhất của Tập đoàn Pelican nổi tiếng
10,2,"Du thuyền với thiết kế sang trọng, đẳng cấp, trang thiết bị hiện đại đảm bảo an toàn tuyệt đối"
10,3,"Du khách sẽ được thưởng thức ẩm thực phong phú, độc đáo, sự kết hợp hoàn hảo giữa phong cách châu Á và châu Âu"
10,4,"Với hành trình tham quan độc đáo, tham quan những địa điểm đẹp nhất trên vịnh Lan Hạ"
11,1,Là một trong những du thuyền thuộc phân khúc du thuyền sang trọng ở Vịnh Lan Hà Cát Bà
11,2,Hành trình mới lạ: khám phá vịnh Lan Hạ hoang sơ và đảo Cát Bà với nhiều hoạt động đa dạng
11,3,Với nhiều tiện nghi: phòng Spa rộng nhất với đa dạng các liệu pháp tuyệt vời
11,4,Paradise Grand hứa hẹn sẽ tạo ra một chuyến đi vô cùng xa hoa đến vịnh Lan Hà huyền bí và yên tĩnh - một vẻ đẹp quyến rũ khác giữa Di sản
12,1,"Du thuyền Genesis Regal có kiến trúc tân cổ điển Pháp – Đông Dương mang tới một không gian ấm cúng, sang trọng, tinh tế."
12,2,Hải trình 2 ngày 1 đêm đưa du khách tham quan vịnh Hạ Long và vịnh Lan Hạ.
12,3,"Du khách sẽ có cơ hội tìm hiểu về văn hóa,  đời sống địa phương và có các hoạt động vui chơi thú vị như bơi lội, khám phá hang động."
12,4,"Trên tàu phục vụ đồ uống thượng hạng được nhập khẩu từ Áo, Hungary, Chile…"
13,1,"Du thuyền Ambassador nổi tiếng là một trong những du thuyền sang trọng và lớn nhất vịnh Hạ Long, Ambassador cũng là du thuyền duy nhất có thang máy."
13,2,"Du thuyền lớn với 46 cabin trên tàu, du khách sẽ bị choáng ngợp bởi thiết kế tinh tế và hiện đại."
13,3,"Chuyến nghỉ dưỡng sang chảnh với các dịch vụ như ngâm mình trong bể sục Jacuzzi lộ thiên, thư giãn massages, check in với chiếc cầu kính và thưởng thức ẩm thực Á- Âu chuẩn sao Michelin."
13,4,Du thuyền chạy trên hải trình truyền thống đưa bạn tham quan những địa điểm nổi tiếng của vịnh Hạ Long như đảo Titop và tham quan hang Sửng Sốt.
14,1,Du thuyền Mila mang phong cách hiện đại kết hợp với nét cổ điển Á Đông
14,2,Các phòng nghỉ của du thuyền đều gồm đầy đủ các thiết bị và nội thất hiện đại
14,3,"Du thuyền Mila với hành trình khám phá Vịnh Hạ Long, đưa du khách đến các điểm tham quan nổi tiếng như đảo Titop, hang Sửng Sốt."
14,4,Nhà hàng trên du thuyền sẽ phục vụ du khách các chính theo phong cách Á-Âu kết hợp và ngon miệng
15,1,"Cung cấp không chỉ một dịch vụ du lịch sang trọng đạt tiêu chuẩn an toàn cao nhất mà còn là trải nghiệm hoàn toàn độc đáo với một hành trình nghiên cứu kỹ lưỡng, dịch vụ chu đáo,..."
15,2,"Là một trong những du thuyền có bể bơi rộng và đẹp nhất vịnh Hạ Long, vịnh Lan Hạ được du khách yêu thích check-in nhiều nhất!"
15,3,Các phòng có trang thiết bị sang trọng rộng rãi với đầy đủ tiện nghi và view rộng toàn cảnh vịnh rất đẹp.
15,4,"Du thuyền đem đến một trải nghiệm hoàn toàn độc đáo với một hành trình được nghiên cứu cẩn thận, dịch vụ chu đáo, ..."
16,1,"Thực đơn trên tàu kết hợp đặc sản Việt Nam và món Âu, phục vụ theo kiểu buffet hoặc set menu."
16,2,Renea Cruises có chính sách giá ưu đãi dành cho trẻ em.
16,3,Tại lớp học nấu ăn bạn sẽ được học cách làm chả giò hoặc thử thách bản thân tỉa hoa quả.
16,4,Du thuyền Renea chuyên tuyến  Vịnh Bái Tử Long với nhiều cảnh quan đẹp và nguyên sơ. Du khách có thể lựa chọn lịch trình 2 ngày 1 đêm hoặc 3 ngày 2 đêm.
17,1,Du thuyền Elite of the Seas là du thuyền sang trọng mới nhất vịnh Hạ Long
17,2,"Du thuyến được thiết kế mang phong cách hiện đại với các tiện ích vượt trội như: bể bơi, khu vực spa, sân golf mini, phòng gym."
17,3,"Lịch trình du thuyền sẽ đưa du khách khám phá vịnh Lan Hạ thơ mộng với các điểm tham quan nổi tiếng: Hang Sáng Tối, Làng Chài , khu vực Ao Ếch."
17,4,Mỗi phòng của du thuyền đều có ban công và bồn tắm riêng giúp du khách có những giờ phút riêng tư và thoải mái nhất
18,1,"Du thuyền nổi bật với phong cách cổ điển Đông Dương và hiện đại phương Tây, thu hút du khách từ diện mạo bên ngoài đến nội thất sang trọng bên trong."
18,2,Bể bơi đẳng cấp 5 sao cho những tấm hình checkin đầy sang trọng độc đáo
18,3,Nét kiến trúc Đông Dương kết hợp với nhịp sống phương Tây hiện đại đem lại một sản phẩm thực sự xuất sắc
18,4,"Tất cả các cabin trên du thuyền đều sở hữu ban công riêng, hệ thống cửa sổ trần và bồn tắm hướng vịnh."
19,1,"Du thuyền có bể sục Jacuzzi ngoài trời độc đáo, đẹp mắt"
19,2,Đặc biệt khu Spa của du thuyền với nhiều phương pháp trị liệu hiệu quả sẽ đem lại cho du khách sự thoải mái và thư giãn
19,3,Mỗi phòng của du thuyền đều có bồn tắm và ban công riêng thoải mái
19,4,Du thuyền sở hữu Quầy bar  sang trọng với nhiều đồ uống hấp dẫn du khách
19,5,Phòng gia đình của du thuyền rộng rãi và phù hợp với du khách có trẻ nhỏ
20,1,"Du thuyền Scarlet Pearl là một trong những du thuyền mới và lớn nhất ở Vịnh Lan Hạ, Vịnh Hạ Long"
20,2,"Phòng rộng rãi, trang trí sang trọng, đấy đủ tiện nghi,tất cả các phòng đều có ban công riêng và hướng vịnh"
20,3,"Tham gia các hoạt động: Kayaking, bơi lội, câu mực đêm, cooking class,."
20,4,"Sự lựa chọn tuyệt vời cho cả các cặp đôi, nhóm bạn hoặc gia đình có trẻ em."
21,1,"Du thuyền Nostalgia là một trong số du thuyền mới nhất với thiết kế hiện đại, sang trọng với 10 phòng đầy đủ thiết bị"
21,2,Mỗi phòng của du thuyền đều có ban công riêng
21,3,"Du thuyền có phòng Spa với các liệu pháp hiệu quả xóa tan mệt mỏi, đem lại cho du khách sự thoải mái"
21,4,Wifi miễn phí
21,5,Nhà hàng sang trọng
21,6,Du thuyền 5 sao
22,1,"Du thuyền phong cách thiết kế trang nhã và trang thiết bị sang trọng hiện đại, tất cả các phòng đều có ban công riêng"
22,2,Du khách sẽ được trải nghiệm hoạt động đánh bắt cá cùng người dân địa phương
22,3,"Chất lượng dịch vụ, cùng đội ngũ nhân viên chuyên nghiệp sẽ mang lại cho du khách kỳ nghỉ dưỡng tuyệt vời"
22,4,"Thiết kế trang nhã vô cùng ấm cúng  là sự lựa chọn lý tưởng cho gia đình, cặp đôi và bạn bè"
23,1,"Du thuyền phong cách thiết kế truyền thống, nhã nhặn và trang thiết bị sang trọng hiện đại"
23,2,"Du khách sẽ được Khám phá tuyến đường ""vắng khách"" của Vịnh Lan Hạ"
23,3,"Các cabin của du thuyền Sena được bài trí sang trọng, có ban công riêng để thư giãn và ngắm cảnh"
23,4,"Với thiết kế thông minh, ban công riêng mang đến một không gian mở lãng mạn để quý khách có thể hít hà gió trời, ngắm cảnh và đặc biệt là lưu giữ những khảnh khắc đáng nhớ bằng những bức hình tuyệt đẹp"
24,1,Du thuyền 5 sao với phong cách Châu Âu hiện đại với lịch trình linh hoạt
24,2,Mỗi phòng của du thuyền đều có ban công riêng
24,3,"Du thuyền hội tụ nhiều tiện ích như: nhà hàng, quầy bar, phòng gym, bể bơi ngoài trời và phòng spa"
24,4,Nhà hàng của du thuyền phục vụ các món ăn theo phong cách Á và Âu kết hợp
25,1,Du thuyền Swan đưa du khách đến với vịnh Bái Tử Long với với những điểm đến hấp dẫn
25,2,"Tham gia nhiều hoạt động thú vị: Chèo thuyền kayak, Đi thuyền tre, Câu mực, Bơi lội, Lớp học nấu ăn, …"
25,3,"Trong lịch trình tham quan Vịnh Hạ Long - Bái Tử Long, bạn có thể tham gia vào chuyến đi khám phá mọi ngóc ngách của Vịnh, từ những bãi biển đẹp, hang động huyền diệu, những ngôi làng nổi, những hòn đảo xa xôi đến những khu vực hoang sơ."
25,4,Thực đơn phong phú phù hợp với khẩu vị và phong cách ẩm thực của phương Tây và Á Đông
26,1,Du khách sẽ được hoà mình vào làn nước xanh như ngọc trong không gian đậm chất huyền thoại hoặc đơn giản chỉ là nghĩ dưỡng với các tiện nghi sang trọng
26,2,"Phòng nghỉ cao cấp view biển với đầy đủ tiện nghi, thiết kế ban công, bồn tắm riêng"
26,3,Du thuyền Erina sẽ đáp ứng mọi kì vọng của bạn về một kì nghỉ trong mơ với 30 cabin sang trọng tiện nghi chuẩn 5 sao cùng dịch vụ hoàn hảo.
26,4,"Một trong những du thuyền đẳng cấp nhất tại Vịnh Lan Hạ cho cặp đôi đi trăng mật hay kì nghì của cả gia đình, Erina cruise chắc chắn sẽ mang đến trải nghiệm đích thực mà du khách mong ước"
27,1,Du thuyền mang đậm phong cách Đông Dương sang trọng và đẳng cấp
27,2,Toàn bộ phòng của du thuyền đều có diện tích lớn với cửa kính sát trần giúp du khách ngắm trọn vẻ đẹp của Vịnh Hạ Long
27,3,"Du thuyền Indochine Premium có tới 02 sundeck rộng rãi phù hợp với du khách muốn trang trí tiệc cưới, tiệc gala"
27,4,"Nhà hàng của du thuyền thoáng đãng, sang trọng có thể phục vụ cùng lúc lên tới 150 khách"
28,1,"Du thuyền Athena Luxury sẽ đưa du khách tham quan, khám phá vẻ đẹp hùng vĩ của vịnh Hạ Long, nơi đây luôn là điểm đến lý tưởng hấp dẫn mọi du khách trong và ngoài nước"
28,2,"Lịch trình tham quan vịnh Bái Tử Long với những trải nghiệm, điểm đến mới mẻ"
28,3,"Athena xứng đáng là một kiệt tác nghệ thuật với thiết kế hiện đại, sang trọng sẽ khiến du khách có cơ hội được trải nghiệm không gian như một khách sạn quốc tế thực thụ"
28,4,"Tất cả các phòng đều có ban công riêng, nội thất gỗ sang trọng ,bài trí hiện đại và tinh tế"
29,1,Du thuyền Indochine Sails là tàu gỗ nổi tiếng chạy lịch trình vịnh Hạ Long
29,2,Các bữa ăn theo lịch trình của du thuyền được kết hợp hài hòa giữa truyền thống Việt Nam và quốc tế
29,3,"Du khách sẽ tham gia các hoạt động hấp dẫn như: thăm Hang Sửng Sốt, Đảo Ti Tốp..."
30,1,Du thuyền Athena Royal là du thuyền du lịch năm sao sang trọng hoàn toàn mới tại Vịnh Hạ Long – Vịnh Bái Tử Long
30,2,"Đi trên du thuyền Athena, du khách sẽ bị choáng ngợp bởi vẻ đẹp tự nhiên hung vĩ xung quanh, bị mê hoặc bởi kỳ quan thiên nhiên còn nhiều bí ẩn và cổ xưa của Vịnh Hạ Long"
30,3,Hành trình của Du thuyền Athena từ Vịnh Hạ Long huyền thoại đến Vịnh Bái Tử Long mang lại một trải nghiệm độc đáo không thể có được trên các du thuyền khác
30,4,Du thuyền được thiết kế vỏ sắt hiện đại mà vẫn thể hiện được những đường nét tinh tế tuyệt đối cuốn hút từ ánh nhìn đầu tiên.
31,1,Du thuyền được thiết kế theo kiến trúc hiện đại kết hợp hài hòa với phong cách truyền thống Châu Á
31,2,"Du thuyền Signature Royal Hạ Long là du thuyền đạt tiêu chuẩn 5 sao với dịch vụ và tiện nghi sang trọng, chạy hành trình 2 ngày và 3 ngày thăm quan vịnh Hạ Long, vịnh Lan Hạ và vịnh Bái Tử Long"
31,3,"Đến với du thuyền Signature, bạn sẽ được tận hưởng những dịch vụ tốt nhất bởi đội ngũ nhân viên tận tâm và giàu kinh nghiệm"
31,4,"Tại khu vực sundeck rộng 130m2, bạn được tự do thưởng thức những ly đồ uống hảo hạng bất kể ngày đêm."
32,1,"Du thuyền Signature Royal Hạ Long có phòng nghỉ rộng rãi, tiện nghi sang trọng"
32,2,"Các phòng đều có ban công riêng, giúp du khách có thể thưởng ngoạn được toàn cảnh vẻ đẹp Hạ Long"
32,3,"Du thuyền Signature  đi tới vịnh Bái Tử Long – nơi còn giữ nguyên vẻ đẹp kỳ bí, hoang sơ. Hải trình này còn có những hoạt động trải nghiệm thú vị như khám phá hang động, chèo kayak."
32,4,"Là một chiếc thuyền truyền thống và lấy cảm hứng từ lối trang trí kiểu Pháp, du thuyền Signature Royal là một trong những con tàu lớn nhất trong khu vực và cũng là một trong những tàu được tìm kiếm nhiều nhất trên Vịnh Bắc Bộ"
33,1,"Du thuyền Doris thuộc phân khúc du thuyền hạng sang, cung cấp dịch vụ và phòng nghỉ chất lượng cao."
33,2,Mỗi phòng của du thuyền đều có ban công riêng cùng phòng có bồn tắm với cửa kính cỡ lớn
33,3,"Bao gồm đầy đủ các hoạt động như: chèo thuyền kayak, thăm hang, bơi lội hay lớp học nấu ăn"
33,4,Phòng dành có cửa thông nhau phù hợp với gia đình có trẻ nhỏ
34,1,Tất cả các phòng đều có ban công riêng và bồn tắm view vịnh
34,2,Lịch trình đa dạng khám phá trọn vẹn vẻ đẹp vịnh Lan Hạ
34,3,Chèo thuyền Kayak hoặc ngồi thuyền nan giữa những hòn đảo đá lung linh nổi nên giữa vịnh
34,4,Du thuyền La Casta Regal hứa hẹn đem tới những trải nghiệm ấn tượng khó quên cùng những chuyến du ngoạn làm hài lòng du khách.
35,1,Du thuyền Paradise Sails là tàu gỗ nổi tiếng thuộc tập đoàn Paradise
35,2,"Thiết kế sang trọng, ấm cúng với phong cách cổ điển Đông Dương cùng nội thất sang trọng"
35,3,Du thuyền tham quan tuyến Hạ Long với những điếm đến hấp đẫn
36,1,"Du thuyền La Regina đưa du khách khám phá cận cảnh Vịnh Lan Hạ và du ngoạn trên biển với hải trình riêng biệt, không giống với bất cứ tàu nào."
36,2,Các phòng nghỉ trên du thuyền đều rộng rãi và được trang bị đầy đủ tiện nghi để du khách có một kỳ nghỉ thoải mái
36,3,"La Regina Legend có 27 cabin rộng rãi, được trang bị tốt với đầy đủ tiện nghi và ban công riêng cho bức tranh toàn cảnh tuyệt đẹp của Vịnh"
36,4,"Du khách có thể tận hưởng nhiều tiện nghi như nhà hàng và quán bar cao cấp, phòng gym, phòng đọc sách"
37,1,"Du thuyền với các hoạt động thú vị, tiện ích đa dạng, hiện đại: Bể bơi, Phòng Spa & Massage, Phòng Gym,..."
37,2,"Du thuyền thist kế nhiều phòng thông nhau lý tưởng cho các chuyến đi gia đình và nhóm bạn,"
37,3,"Du thuyền Alisa thiết kế hiện đại,mỗi phòng nghỉ trên tàu đều được thiết kế theo phong cách sang trọng, đặc biệt hạng phòng VIP có ban công riêng hướng biển và được trang bị bồn tắm Jacuzzi,"
38,1,"Du thuyền sang trọng nhất với phong cách phục vụ chuyên nghiệp nhất, chất lượng dịch vụ tốt nhất, thực đơn phong phú nhất,"
38,2,Tất cả các phòng ngủ đều có ban công riêng nhìn ra đại dương.- Các hành trình là độc đáo và khác biệt với tất cả các du thuyền trên vịnh Lan Hạ.
38,3,"Là một du thuyền đầu tiên của Viêt Nam được đầu tư cơ sở vật chất như phòng hát cách âm, karaoke, sân tập Goft, bể bơi bốn mùa, phòng gym…"
38,4,"Du khách được tham gia nhiều hoạt động thú vị như chèo thuyền Kayak, bơi lội, tham quan hang Sáng Tối, lớp học nấu ăn, tiệc hoàng hôn, câu mực đêm và tập thái cực quyền."
39,1,Era Cruise là một trong số ít du thuyền có dịch vụ chăm sóc sức khỏe y tế và rạp chiếu phim mini.
39,2,"Khu vực sân thượng vô cùng rộng rãi được trải thảm xanh giúp bạn có cảm giác như đang hòa mình vào thiên nhiên, tận hưởng không khí trong lành nơi vịnh đả"
39,3,"Du thuyền nhiều tiện ích nhất: Thang máy, phòng chiếu phim, phòng tập Fitness, Spa"
39,4,Các phòng lớn và được trang bị đầy đủ tiện nghi này có sân hiên tắm nắng riêng và bể sục
40,1,"Du thuyền Sapphire được thiết kế tối giản, hiện đại, với tông màu trắng chủ đạo, mỗi phòng đều có ban công riêng đảm bảo sự riêng tư, có bồn tắm và bồn Jacuzzi (trừ phòng suite cabin trên tầng 3)."
40,2,"Nhiều trải nghiệm thú vị trong chuyến đi: chèo thuyền kayak, bơi lội, lớp học Thái Cực Quyền, lớp học nấu ăn, v.v."
40,3,Tham gia giờ vui vẻ - Happy Hour với nhiều ưu đãi cho đồ uống trên tàu.
40,4,Trải nghiệm ẩm thực tuyệt vời với nhiều món ăn ngon của Việt Nam
41,1,"Du thuyền được thiết kế theo phong cách quốc tế với nội thất trang trí Đông Dương, lấy cảm hứng từ nét đẹp yêu kiều của người phụ nữ Á Đông"
41,2,Du thuyền có  39 phòng cao cấp đều có ban công riêng và bồn tắm full view biển
41,3,"Catherine là một khu nghỉ dưỡng thu nhỏ với hàng loạt dịch vụ giải trí cao cấp trên tàu: 02 nhà hàng, 02 phòng Spa riêng biệt cho nam và nữ, 02 phòng Karaoke sang trọng, Phòng thử rượu & cigars, Bể bơi vô cực 40m3, Phòng Poker (Texas hold’em), Sân golf mini…"
41,4,"Tại đây, du khách sẽ có khoảng thời gian vui vẻ để trải nghiệm các món ăn được lấy cảm hứng và có nguồn gốc địa phương, được chuẩn bị cẩn thận bởi các đầu bếp chuyên nghiệp của Catherine."
42,1,"Amanda Cruises là du thuyền 5 sao tại Hạ Long ĐẦU TIÊN & DUY NHẤT chạy lịch trình 02 ngày 01 đêm khám phá bãi biển Trinh Nữ hoang sơ và Hang Sửng Sốt đẹp nhất  tại Vịnh Hạ Long,"
42,2,"Với phong cách thiết kế hiện đại pha lẫn chút cổ điển và tinh tế, lấy cảm hứng từ những du thuyền châu Âu, Amanda Cruise được tạo nên bởi vẻ đẹp hài hòa nhưng cũng rất sang trọng, cuốn hút,"
42,3,"Hải trình dài đến Hang Trinh Nữ (chương trình dành cho khách 3 ngày), điểm đến không vắng, khách được ngắm cảnh đẹp hoang sơ của vịnh Hạ Long"
42,4,"Amanda Crusie là thiết kế hoàn hảo giữa phong cách cổ điển và hiện đại, mang đến sự mới lạ cho du khách"
43,1,Du thuyền đầu tiên và duy nhất ở Vịnh Hạ Long sở hữu 2 hồ bơi ngoài trời
43,2,"Có đầy đủ các tiện ích hiện đại nhất như nhà hàng cao cấp, phòng massage và spa, quầy bar, ."
43,3,"Thưởng thức các món ăn ngon và các hoạt động thú vị: chèo thuyền kayak, bơi lội, thăm hang động, lớp học nấu ăn"
43,4,"Tất cả các phòng đều được thiết kế rộng rãi, có ban công riêng và bể sục thoải mái, cùng nhiều tiện nghi khác"
44,1,Du thuyền Dora cung cấp chỗ ở với các phòng rộng rãi được thiết kế hiện đại. Mỗi phòng đều có ban công riêng hoặc sân thượng thoáng thích hợp để uống trà và ngắm cảnh.
44,2,Trên tàu có đầy đủ tiện nghi đáp ứng cả nhu cầu thư giãn và hoạt động với trung tâm chăm sóc sức khỏe và phòng tập gym.
44,3,"Các hoạt động khác nhau trong và ngoài tàu: lớp học nấu ăn, lớp tập Tai-Chi, chèo thuyền kayak, bơi lội, đi xe đạp, thám hiểm hang động, vv"
44,4,Du thuyền có phòng cho gia đình hoặc nhóm đem lại đa dạng lựa chọn phòng nghỉ cho du khách
45,1,Du thuyền Hera là một trong những du thuyền cao cấp sang trọng nhất trên vịnh Hạ Long
45,2,Du thuyền Hera phù hợp cho các đoàn khách nhóm nhỏ và có dịch vụ cho thuê tàu riêng trong ngày.
45,3,Du thuyền Hera có phục vụ bữa tối riêng tư theo yêu cầu của khách và cung cấp dịch vụ quản gia.
45,4,"Du thuyền Hera có 11 phòng cao cấp rộng rãi, các phòng đều có chủ đề riêng với diện tích từ 28-55m2  và cửa kính lớn cho góc nhìn toàn cảnh ra vịnh Hạ Long"
46,1,Du thuyền Sea Stars là du thuyền biểu tượng của sự xa hoa và đẳng cấp bậc nhất vịnh Hạ Long
46,2,"Thiết kế hoàng tráng gồm đầy đủ các tiện ích hoàn hảo nhất: bể bơi ngoài trơi, sân golf mini, nhà hàng sang trọng..."
46,3,Diện tích phòng rộng với đầy đủ các thiết bị hiện đại nhất
46,4,"Lịch trình hấp dẫn với các điểm tham quan nổi tiếng: đảo Ti Tốp, hang Sửng Sốt, hang Luồn...."
47,1,"Du thuyền thép năm tầng này là du thuyền nghỉ đêm lớn nhất ở Vịnh Hạ Long, được thiết kế với 55 phòng khách trang nhã và rộng rãi"
47,2,"Du thuyền hấp dẫn với lịch trình độc đáo khám phá Vịnh Lan Hạ trong hành trình 2 ngày và Vịnh Bái Tử Long trong hành trình 3 ngày, chắc chắn sẽ mang đến những trải nghiệm tuyệt vời cho tất cả du khách trên tàu."
47,3,"Đắm chìm trong trải nghiệm ngoạn mục về sự thoải mái, sang trọng và phong cách với siêu du thuyền Essence."
47,4,"Điều sẽ làm bạn ngạc nhiên hơn cả là một loạt các tiện ích hiện đại trên du thuyền phù hợp với mọi nhu cầu, bao gồm bể bơi nước mặn vô cực, màn hình tác động mô phỏng chơi golf, phòng tập thể dục và yoga, phòng hội nghị, phòng rượu vang & xì gà, thư viện nhỏ và khu đọc sách; câu lạc bộ trẻ em, v.v."
48,1,"Ra mắt vào đầu năm 2023, Ambassador là du thuyền trong ngày lớn nhất trên Vịnh Hạ Long, với sức chứa lên đến 400 khách."
48,2,"Với 7 giờ trên tàu, bạn vẫn có cơ hội để tận hưởng hàng loạt tiện nghi tiêu chuẩn cao cấp, cùng những trải nghiệm thú vị như những gì du khách nghỉ đêm trải qua trong 2 ngày"
48,3,"Du thuyền có nhiều điểm nổi bật giống với du thuyền ngủ đêm Ambassador, như bể bơi vô cực với tầm nhìn 360 độ toàn cảnh vịnh Hạ Long, khu vực sundeck đôi rộng rãi, cầu kính check-in, và nhà hàng sang trọng"
48,4,"Nếu bạn có một khoảng thời gian ngắn để khám phá Vịnh Hạ Long, nhưng muốn tận hưởng nó với  sự sang trọng và phong cách, du thuyền trong ngày Ambassador chắc chắn là lựa chọn số một"
49,1,"Du thuyền Rosy có thiết kế sang trọng, các phòng đều có bồn tắm cao cấp, du khách sẽ được thư giãn ngắm nhìn cảnh vịnh từ ban công riêng"
49,2,"Du thuyền sẽ đưa bạn tham quan những điểm nổi tiếng đặc sắc của vịnh Lan Hạ và tham gia nhiều hoạt động thú vị như bơi lội, chèo kayak, tham gia lớp học nấu ăn, tiệc hoàng hôn và trải nghiệm câu mực đêm"
49,3,"Du thuyền Rosy mang đến trải nghiệm trên vịnh Lan Hạ cho những du khách mong muốn trải nghiệm vẻ đẹp thiên nhiên, thư giãn của di sản thế giới với dãy núi đá vôi, làn nước trong xanh cùng những giây phút khó quên"
49,4,"Bể bơi 4 mùa rộng  nằm ở phía trước của tầng thứ ba là nơi thư giãn hoàn hảo, nơi bạn có thể thưởng thức toàn cảnh của một di sản thế giớ"
50,1,"Du khách dùng bữa trưa trên Du thuyền với ẩm thực và phong cách phục vụ theo tiêu chuẩn Châu âu, được chế biến và trang trí đẹp mắt bởi đầu bếp tiêu chuẩn 5 sao"
