ship_id,block_id,type,data
10,1,paragraph,"Orchid Premium là du thuyền sang trọng và đẳng cấp nhất của tập đoàn Pelican Hạ Long. Du thuyền được thiết kế đậm phong cách Đông Dương với 7 phòng được trang bị nội thất hiện đại nhất. Tất cả các phòng của du thuyền đều có ban công riêng tư dành cho du khách. Bể sục cỡ lớn được bố trí trên boong tàu sẽ giúp du khách ngắm nhìn toàn cảnh vịnh Hạ Long tuyệt đẹp. Du thuyền Orchid Premium là lựa chọn hoàn hảo nhất cho gia đình ưu tiên cho sự riêng tư và gần gũi. Đặc biệt, với số lượng cabin vừa phải, du thuyền còn phù hợp cho những nhóm du khách muốn thuê trọn tàu cho kỳ nghỉ.&nbsp;"
10,2,image,https://minio.fares.vn/mixivivu-dev/tour/orchid-premium-cruises-ha-long-bay/blog/75g3amcztp6y6jvs.webp
10,3,paragraph,"Nhà hàng sang trọng của du thuyền phục vụ các bữa ăn trong lịch trình với đồ ăn mang phong cách Á-Âu kết hợp. Du khách vừa có thể thưởng thức những món ăn tươi ngon, vừa có thể chiêm ngưỡng khung cảnh thơ mộng qua những ô cửa kính lớn sát trần.&nbsp;"
10,4,image,https://minio.fares.vn/mixivivu-dev/tour/orchid-premium-cruises-ha-long-bay/blog/7tj9i5yjpjyjdap5.webp
10,5,paragraph,"Lịch trình đặc biệt của du thuyền sẽ đưa du khách khám phá vẻ đẹp thiên nhiên đã ban tặng cho Hạ Long. Du khách vừa có thể tận hưởng không khí trong lành, vừa có thể tham gia các hoạt động như: tham quan làng chài Việt Hải hay chèo thuyền kayak độc đáo."
10,6,image,https://minio.fares.vn/mixivivu-dev/tour/orchid-premium-cruises-ha-long-bay/blog/mkotlgz3cz3z4js3.webp
11,1,paragraph,"Du thuyền Paradise Grand là một thương hiệu thuộc tập đoàn Paradise với chất lượng 5 sao nổi tiếng trên Vịnh Hạ Long. Du thuyền gồm 39 cabin được trang bị đầy đủ các thiết bị hiện đại, đẳng cấp. Mỗi phòng đều có ban công riêng với tầm nhìn toàn cảnh vịnh Hạ Long. Đặc biệt, thủ tục check in lên tàu rất nhanh chóng và thuận tiện giúp du khách tiết kiệm được thời gian."
11,2,image,https://minio.fares.vn/mixivivu-dev/tour/paradise-grand-cruise-lan-ha-bay/blog/brzo8k5bvwepup8w.webp
11,3,paragraph,Nhà hàng cùa du thuyền phục vụ những bữa ăn theo lịch trình với đồ ăn tươi ngon cùng chất lượng hoàn hảo từ món chính cho đến món tráng miệng được trang trí đẹp mắt. Những đầu bếp với tay nghề đã được chứng nhận Michellin sẽ đem đến cho du khách sự hài lòng và thú vị.&nbsp;
11,4,image,https://minio.fares.vn/mixivivu-dev/tour/paradise-grand-cruise-lan-ha-bay/blog/tlglv3wi1qbp4zhp.webp
11,5,paragraph,"Du khách sẽ có cơ hội trải nghiệm chèo thuyền kayak, khám phá đời sống địa phương, thăm những hang động nổi tiếng nhất trên vịnh Hạ Long. Sau những hoạt động thú vị, du khách trở về tàu và tiếp tục bữa tiệc trà chiều và ngắm nhìn hoàng hôn hoặc đắm mình thư giãn trên bể sục tại vị trí boong tàu."
11,6,image,https://minio.fares.vn/mixivivu-dev/tour/paradise-grand-cruise-lan-ha-bay/blog/yktqv3wk3h7pbf6e.webp
12,1,paragraph,"Du thuyền Genesis Regal có kiến trúc tân cổ điển Pháp – Đông Dương mang tới một không gian ấm cúng, sang trọng, tinh tế. Du thuyền được thiết kế với 20 cabin và mỗi cabin đều có ban công riêng cùng bồn tắm mang lại sự riêng tư, thoải mái cho du khách. Nhà hàng của du thuyền phục vụ các món ăn Á-Âu trong các bữa ăn cùng lịch trình của tàu."
12,2,image,https://minio.fares.vn/mixivivu-dev/tour/genesis-luxury-regal-cruises/blog/pfm8yvod3yopuixg.webp
12,3,paragraph,"Hành trình mới lạ hấp dẫn: Khám phá và hòa nhập vào cuộc sống của ngư dân trong một nhà dân làng chài trên Vịnh. Du khách sẽ có cơ hội tìm hiểu về văn hóa, đời sống địa phương và có các hoạt động vui chơi thú vị như bơi lội, khám phá hang động. Bên cạnh đó, du khách có thể&nbsp;Chèo thuyền kayak / chèo thuyền nan tại hang Sáng - Tối, một trong những hang động nước đẹp nhất trên Vịnh."
12,4,image,https://minio.fares.vn/mixivivu-dev/tour/genesis-luxury-regal-cruises/blog/q7l0uvx76p7xwhvk.webp
13,1,paragraph,Du thuyền Ambassador được thiết kế tinh tế đặc biệt với 46 cabin giống như một khách sạn sang trọng đẳng cấp giữa lòng vịnh Hạ Long chắc chắn sẽ là sự lựa chọn hoàn hảo nhất để khám phá vẻ đẹp của di sản kỳ quan thiên nhiên thế giới vịnh Hạ.
13,2,image,https://minio.fares.vn/mixivivu-dev/tour/president-cruises-halong/blog/cyffkf4vpsc86zyp.webp
13,3,paragraph,"Du thuyền Ambassador có 5 tầng, được đóng mới với chiều dài lên tới 86m, chiều rộng 13.9m và cao 13m. Với 2 tầng dành riêng cho thư giãn, tắm nắng hoặc đắm mình trong bể sục Jacuzzi ngoài trời cùng không gian rộng rãi nhìn ra toàn cảnh Hạ Long.&nbsp;"
13,4,image,https://minio.fares.vn/mixivivu-dev/tour/president-cruises-halong/blog/os5r0q7rqrbstppu.webp
13,5,paragraph,"Mỗi cabin trên tàu đều có cửa sổ lớn, sân hiên hoặc ban công riêng có hướng nhìn đẹp ra vịnh, du khách sẽ&nbsp;được chiêm ngưỡng cảnh đẹp như mơ trên vịnh Hạ Long khi tham quan trên du thuyền."
13,6,image,https://minio.fares.vn/mixivivu-dev/tour/president-cruises-halong/blog/95y8vdg78dnna7id.webp
13,7,paragraph,"Lấy cảm hứng bởi đầu bếp Michellin nổi tiếng thế giới: John Burton – Race, đầu bếp&nbsp;Chef John đã đào&nbsp;tạo đội ngũ đầu bếp của Ambassador với nhà hàng chuẩn sao Michelin phục vụ hơn 40 món ăn Á và Âu đa dạng."
13,8,image,https://minio.fares.vn/mixivivu-dev/tour/president-cruises-halong/blog/6vvi8q6eki50wzvn.webp
13,9,paragraph,"Du khách sẽ được trải nghiệm&nbsp;dịch vụ massage ngay trên du thuyền hoặc tham gia&nbsp;nhiều hoạt động thú vị như chèo thuyền kayak, bơi lội, tập thái cực quyền vào buổi sáng, ..."
13,10,image,https://minio.fares.vn/mixivivu-dev/tour/president-cruises-halong/blog/tih1c52pja7ze0g9.webp
13,11,image,https://minio.fares.vn/mixivivu-dev/tour/president-cruises-halong/blog/7yg7j09bcski8vwf.webp
13,12,image,https://minio.fares.vn/mixivivu-dev/tour/president-cruises-halong/blog/7xdxai4he1ukirui.webp
14,1,paragraph,"&nbsp;Với thiết kế hiện đại kết hợp hài hòa phong cách cổ điển Á Đông, du thuyền được bố trí đầy đủ các tiện ích như: spa, boong tàu rộng rãi, các phòng đều có ban công và phòng tắm riêng. Quầy bar của du thuyền cũng được bài trí phù hợp phục vụ du khách những đồ uống ngon miệng và hấp dẫn.&nbsp;"
14,2,image,https://minio.fares.vn/mixivivu-dev/tour/halong-glory-legend-cruise/blog/7aiknpjx20dmo9u7.webp
14,3,paragraph,Nhà hàng của du thuyền có diện tích khá rộng rãi đem đến cho du khách sự thoải mái khi dùng các bữa chính tại đây. Những đầu bếp giàu kinh nghiệm luôn chọn thực phẩm tươi ngon và chất lượng cho du khách.&nbsp;
14,4,image,https://minio.fares.vn/mixivivu-dev/tour/halong-glory-legend-cruise/blog/2l7g7zf8f7q1u79s.webp
15,1,paragraph,"Du thuyền Stellar of the Seas là một trong những du thuyền nổi tiếng nhất vịnh Hạ Long. Du thuyền được thiết kế với 22 cabin, bể bơi, cùng sân golf mini.&nbsp;Các phòng có trang thiết bị sang trọng rộng rãi với đầy đủ tiện nghi và view rộng toàn cảnh vịnh rất đẹp."
15,2,image,https://minio.fares.vn/mixivivu-dev/tour/stellar-of-the-seas-cruise/blog/5cqb8isils397x8n.jpg
15,3,paragraph,"Các bữa ăn sang trọng sẽ được phục vụ ngay trên tàu gồm bữa trưa kiểu Âu /set menu, bữa tối nướng BBQ gần khu vực bể bơi và bữa sáng, bữa trưa kết hợp kiểu Việt."
15,4,image,https://minio.fares.vn/mixivivu-dev/tour/stellar-of-the-seas-cruise/blog/eooa340a52upw6ll.jpg
15,5,paragraph,"Cung cấp không chỉ một dịch vụ du lịch sang trọng đạt tiêu chuẩn an toàn cao nhất mà còn là trải nghiệm hoàn toàn độc đáo với một hành trình nghiên cứu kỹ lưỡng, dịch vụ chu đáo,..."
15,6,image,https://minio.fares.vn/mixivivu-dev/tour/stellar-of-the-seas-cruise/blog/snvpbzeb60zk71n1.jpg
16,1,paragraph,"Du thuyền Renea với lịch trình vô cùng thú vị đưa du khách thăm quan tuyến Bái Tử Long. Với thiết kế đặc biệt từ cánh buồm, màu gỗ cùng nội thất mang đậm truyền thống Việt Nam sẽ là ấn tượng đầu tiên của du khách. Số lượng 11 cabin được chia thành 3 hạng phòng, phù hợp với lựa chọn của du khách yêu thích sự nhẹ nhàng, riêng tư. "
16,2,image,https://minio.fares.vn/mixivivu-dev/tour/renea-cruises-halong/blog/toxjlch3txnnof0v.webp
16,3,paragraph,"Du khách sẽ cùng trải nghiệm chèo thuyền kayak, tận hưởng không khí tự nhiên trong lành của khu vực đảo Cặp La.Trên boong tàu, du khách sẽ được thưởng thức bữa tiệc hoàng hôn tuyệt đẹp và sau đó là cùng thưởng thức bữa tối theo set menu ngon miệng tại Nhà hàng của du thuyền. "
16,4,image,https://minio.fares.vn/mixivivu-dev/tour/renea-cruises-halong/blog/y6xau65qwbmotq3l.webp
17,1,paragraph,"Du thuyền Elite of the Seas là du thuyền hiện đại và mới nhất Vịnh Hạ Long. Du thuyền được hạ thủy cuối năm 2022, du thuyền gồm 35 phòng sang trọng, đẳng cấp cùng bể bơi ngoài trời và xe đưa đón khứ hồi Hà Nội - Hạ Long. Điểm đặc biệt của du thuyền chính là bể bơi dát vàng có diện tích lên tới 50m2, thỏa sức cho du khách bơi lội."
17,2,image,https://minio.fares.vn/mixivivu-dev/tour/du-thuyền-elite-of-the-seas/blog/geq5dd3r1gfkp7wh.jpg
17,3,paragraph,Nhà hàng của du thuyền phục vụ các món ăn đa dạng với phong cách Á-Âu trong lịch trình của tàu.&nbsp;
17,4,image,https://minio.fares.vn/mixivivu-dev/tour/du-thuyền-elite-of-the-seas/blog/wu88sxvoajbuuldb.jpg
18,1,paragraph,"Bắt đầu hành trình đầu tiên vào tháng 8 năm 2020, Du thuyền Capella mang đến trải nghiệm kỳ nghỉ sang trọng, đẳng cấp hoàn toàn mới trên Vịnh Lan Hạ. Du thuyền là sự giao hòa của thiết kế du thuyền hiện đại và phong cách kiến trúc Đông Dương đặc sắc. "
18,2,image,https://minio.fares.vn/mixivivu-dev/tour/du-thuyen-capella1/blog/qx411k13jy7kt7hk.webp
18,3,paragraph,"Du thuyền Capella là nốt nhạc đầu tiên trong bản hòa tấu trên biển, khởi đầu dòng sản phẩm du thuyền sang trọng, nghỉ dưỡng đẳng cấp. "
18,4,image,https://minio.fares.vn/mixivivu-dev/tour/du-thuyen-capella1/blog/45uwmrggkrq5c7rm.webp
18,5,paragraph,"Du thuyền Capella có thiết kế 5 tầng với nhiều tiện nghi với không&nbsp;gian nghỉ dưỡng với 30 phòng nghỉ sang trọng cùng hệ thống nhà hàng, bể bơi, bar, spa, lounge, club… cùng các tiện ích giải trí đa dạng như cầu trượt hơi, bể bơi bốn mùa, sân golf mini, spa, phòng tập Fitness, câu lạc bộ Cigar &amp; Poker, phòng hát Sea Melody"
18,6,image,https://minio.fares.vn/mixivivu-dev/tour/du-thuyen-capella1/blog/espj2bij9445cicp.webp
18,7,image,https://minio.fares.vn/mixivivu-dev/tour/du-thuyen-capella1/blog/1mhck2ruuaa5e962.webp
18,8,image,https://minio.fares.vn/mixivivu-dev/tour/du-thuyen-capella1/blog/0nqjzi2r03rxuhfn.webp
18,9,image,https://minio.fares.vn/mixivivu-dev/tour/du-thuyen-capella1/blog/fs6dmrqpeb6oql5q.webp
18,10,paragraph,"Du thuyền với thiết kế 5 tầng được trang bị tiện nghi tinh tế, tất cả các phòng có ban công riêng là nơi du khách thoải mái ngắm nhìn vẻ đẹp vịnh Hạ Long - Lan Hạ. Điều đặc biệt đầy sức thu hút của du thuyền Capella phải kể đến là bể bơi vô cực sang trọng và cầu phao trượt nước duy nhất trên vịnh Lan Hạ đem lại trải nghiệm mới mẻ độc đáo cho chuyến trải nghiệm khám phá vẻ đẹp Di sản"
18,11,image,https://minio.fares.vn/mixivivu-dev/tour/du-thuyen-capella1/blog/7b0t3pghfd0zee0u.webp
18,12,paragraph,"Hành trình khám phá vịnh Lan Hạ hoang sơ, thơ mộng 2 ngày 1 đêm du khách sẽ được trải nghiệm vô cùng thú vị như trượt cầu trượt hơi đến bể bơi nổi trên biển, chèo kayak, câu mực đêm hay tập taichi sáng sớm và lênh đênh giữa vịnh thư giãn trên thuyền nan để ngắm nhìn hang Sáng Tối với những nhũ đá kỳ bí.<br>"
18,13,image,https://minio.fares.vn/mixivivu-dev/tour/du-thuyen-capella1/blog/j9k9hvhq8vc7pv79.webp
19,1,paragraph,"Du thuyền Orchid Classic bao gồm 14 cabin được thiết kế với lối kiến trúc sang trọng cùng không gian tinh tế ấm cúng. Bể sục Jacuzzi ngoài trời,du khách vừa ngâm mình thư giãn và ngắm nhìn cảnh đẹp quanh vịnh."
19,2,image,https://minio.fares.vn/mixivivu-dev/tour/du-thuyen-orchid-ha-long1/blog/p4ukhjlesusie4hm.jpg
